NAME SERIAL   WWN                  SIZE MODEL               TRAN
sda  Z1Z86298 0x5000c50063722bef   3.6T ST4000NM0063        sas
sdb  Z1Z85V4W 0x5000c50063723663   3.6T ST4000NM0063        sas
sdc  Z1Z84YNR 0x5000c50063721423   3.6T ST4000NM0063        sas
sdd  Z1Z85V47 0x5000c50063723703   3.6T ST4000NM0063        sas
sde  Z1Z862H5 0x5000c5006372211f   3.6T ST4000NM0063        sas
sdf  Z1Z8629N 0x5000c50063722b5b   3.6T ST4000NM0063        sas
sdg  Z1Z85TFE 0x5000c500637252bb   3.6T ST4000NM0063        sas
sdh  Z1Z861ZN 0x5000c50063723b17   3.6T ST4000NM0063        sas
sdo  Z1Z85WVK 0x5000c500637212e3   3.6T ST4000NM0063        sas
sdp  Z1Z862FJ 0x5000c5006372230f   3.6T ST4000NM0063        sas
sdq  Z1Z8622H 0x5000c500637237bf   3.6T ST4000NM0063        sas
sdr  Z1Z85SWP 0x5000c50063726ceb   3.6T ST4000NM0063        sas
sds  Z1Z85VLX 0x5000c500637222ab   3.6T ST4000NM0063        sas
sdt  Z1Z85TBZ 0x5000c50063725523   3.6T ST4000NM0063        sas
sdu  Z1Z86280 0x5000c50063722e7b   3.6T ST4000NM0063        sas
sdv  Z1Z85TM3 0x5000c50063724afb   3.6T ST4000NM0063        sas
sdw  Z1Z84YN9 0x5000c500637214af   3.6T ST4000NM0063        sas
sdx  Z1Z85W1J 0x5000c50063720f4b   3.6T ST4000NM0063        sas
sdy  Z1Z85TTL 0x5000c50063724253   3.6T ST4000NM0063        sas
sdz  Z1Z85TMQ 0x5000c50063724a9f   3.6T ST4000NM0063        sas
sdaa Z1Z85WVK 0x5000c500637212e3   3.6T ST4000NM0063        sas
sdab Z1Z862FJ 0x5000c5006372230f   3.6T ST4000NM0063        sas
sdac Z1Z8622H 0x5000c500637237bf   3.6T ST4000NM0063        sas
sdad Z1Z85SWP 0x5000c50063726ceb   3.6T ST4000NM0063        sas
sdae Z1Z85VLX 0x5000c500637222ab   3.6T ST4000NM0063        sas
sdaf Z1Z85TBZ 0x5000c50063725523   3.6T ST4000NM0063        sas
sdag Z1Z86280 0x5000c50063722e7b   3.6T ST4000NM0063        sas
sdah Z1Z85TM3 0x5000c50063724afb   3.6T ST4000NM0063        sas
sdai Z1Z84YN9 0x5000c500637214af   3.6T ST4000NM0063        sas
sdaj Z1Z85W1J 0x5000c50063720f4b   3.6T ST4000NM0063        sas
sdak Z1Z85TTL 0x5000c50063724253   3.6T ST4000NM0063        sas
sdal Z1Z85TMQ 0x5000c50063724a9f   3.6T ST4000NM0063        sas
