run_id,created_at,started_at,finished_at,status,prompt_file,result_file,error,context_used
oyvq40133,2026-02-03T00:58:18Z,2026-02-03T00:58:18Z,,running,S20260202-195817__inline__Royvq40133.md,,,none
oyvq40133,2026-02-03T00:58:27Z,,2026-02-03T00:58:27Z,done,S20260202-195817__inline__Royvq40133.md,S20260202-195817__inline__Royvq40133__RESULT.md,,none
1bq943242,2026-02-03T01:10:46Z,2026-02-03T01:10:46Z,,running,S20260202-201045__inline__R1bq943242.md,,,none
1bq943242,2026-02-03T01:10:56Z,,2026-02-03T01:10:56Z,done,S20260202-201045__inline__R1bq943242.md,S20260202-201045__inline__R1bq943242__RESULT.md,,none
ga0044012,2026-02-03T01:13:30Z,2026-02-03T01:13:30Z,,running,S20260202-201329__inline__Rga0044012.md,,,none
ga0044012,2026-02-03T01:13:41Z,,2026-02-03T01:13:41Z,done,S20260202-201329__inline__Rga0044012.md,S20260202-201329__inline__Rga0044012__RESULT.md,,none
cp4e44482,2026-02-03T01:14:46Z,2026-02-03T01:14:46Z,,running,S20260202-201445__inline__Rcp4e44482.md,,,none
cp4e44482,2026-02-03T01:14:55Z,,2026-02-03T01:14:55Z,done,S20260202-201445__inline__Rcp4e44482.md,S20260202-201445__inline__Rcp4e44482__RESULT.md,,none
CAP-20260202-210119__spine.verify__Riewh15615,2026-02-03T02:01:19Z,2026-02-03T02:01:19Z,2026-02-03T02:01:19Z,failed,spine.verify,receipt.md,,capability
CAP-20260202-210119__spine.replay__R36y915701,2026-02-03T02:01:19Z,2026-02-03T02:01:19Z,2026-02-03T02:01:19Z,failed,spine.replay,receipt.md,,capability
CAP-20260202-210119__spine.status__Rb7gt15782,2026-02-03T02:01:19Z,2026-02-03T02:01:19Z,2026-02-03T02:01:19Z,done,spine.status,receipt.md,,capability
CAP-20260202-211058__spine.verify__Rg5kg17180,2026-02-03T02:10:58Z,2026-02-03T02:10:58Z,2026-02-03T02:10:58Z,done,spine.verify,receipt.md,,capability
CAP-20260202-211058__spine.replay__Rgpc317266,2026-02-03T02:10:58Z,2026-02-03T02:10:58Z,2026-02-03T02:10:58Z,failed,spine.replay,receipt.md,,capability
CAP-20260202-211058__spine.verify__Rt7ah17359,2026-02-03T02:10:59Z,2026-02-03T02:10:58Z,2026-02-03T02:10:59Z,failed,spine.verify,receipt.md,,capability
CAP-20260202-211132__spine.verify__R2kch17711,2026-02-03T02:11:32Z,2026-02-03T02:11:32Z,2026-02-03T02:11:32Z,done,spine.verify,receipt.md,,capability
CAP-20260202-211133__spine.replay__Rke3317800,2026-02-03T02:11:33Z,2026-02-03T02:11:33Z,2026-02-03T02:11:33Z,failed,spine.replay,receipt.md,,capability
CAP-20260202-211154__spine.verify__R0b9k18081,2026-02-03T02:11:54Z,2026-02-03T02:11:54Z,2026-02-03T02:11:54Z,done,spine.verify,receipt.md,,capability
CAP-20260202-211154__spine.replay__R384918168,2026-02-03T02:11:54Z,2026-02-03T02:11:54Z,2026-02-03T02:11:54Z,done,spine.replay,receipt.md,,capability
CAP-20260202-211310__spine.verify__Rjp9718562,2026-02-03T02:13:11Z,2026-02-03T02:13:10Z,2026-02-03T02:13:11Z,done,spine.verify,receipt.md,,capability
CAP-20260202-211311__spine.replay__Ra7w718649,2026-02-03T02:13:11Z,2026-02-03T02:13:11Z,2026-02-03T02:13:11Z,done,spine.replay,receipt.md,,capability
CAP-20260202-211311__spine.status__Rz0if18721,2026-02-03T02:13:11Z,2026-02-03T02:13:11Z,2026-02-03T02:13:11Z,done,spine.status,receipt.md,,capability
CAP-20260202-211949__spine.verify__Rdmz419324,2026-02-03T02:19:49Z,2026-02-03T02:19:49Z,2026-02-03T02:19:49Z,done,spine.verify,receipt.md,,capability
CAP-20260202-211953__spine.replay__Rjy3f19460,2026-02-03T02:19:53Z,2026-02-03T02:19:53Z,2026-02-03T02:19:53Z,done,spine.replay,receipt.md,,capability
CAP-20260202-211957__spine.status__Rbudr19594,2026-02-03T02:19:57Z,2026-02-03T02:19:57Z,2026-02-03T02:19:57Z,done,spine.status,receipt.md,,capability
CAP-20260202-213211__spine.verify__Rkwpt20776,2026-02-03T02:32:11Z,2026-02-03T02:32:11Z,2026-02-03T02:32:11Z,done,spine.verify,receipt.md,,capability
CAP-20260202-213211__spine.replay__Rtdnz20863,2026-02-03T02:32:11Z,2026-02-03T02:32:11Z,2026-02-03T02:32:11Z,done,spine.replay,receipt.md,,capability
CAP-20260202-213211__spine.status__Rhtwz20935,2026-02-03T02:32:11Z,2026-02-03T02:32:11Z,2026-02-03T02:32:11Z,done,spine.status,receipt.md,,capability
CAP-20260202-214827__spine.verify__Rmoee22873,2026-02-03T02:48:27Z,2026-02-03T02:48:27Z,2026-02-03T02:48:27Z,done,spine.verify,receipt.md,,capability
CAP-20260202-214827__spine.replay__Roe3122959,2026-02-03T02:48:28Z,2026-02-03T02:48:27Z,2026-02-03T02:48:28Z,failed,spine.replay,receipt.md,,capability
CAP-20260202-214828__spine.status__Rmis023044,2026-02-03T02:48:28Z,2026-02-03T02:48:28Z,2026-02-03T02:48:28Z,done,spine.status,receipt.md,,capability
CAP-20260202-215008__spine.replay__Rirro23410,2026-02-03T02:50:08Z,2026-02-03T02:50:08Z,2026-02-03T02:50:08Z,failed,spine.replay,receipt.md,,capability
CAP-20260202-215049__spine.replay__R5s6623770,2026-02-03T02:50:49Z,2026-02-03T02:50:49Z,2026-02-03T02:50:49Z,done,spine.replay,receipt.md,,capability
CAP-20260202-215058__spine.verify__Rwp3y23907,2026-02-03T02:50:58Z,2026-02-03T02:50:58Z,2026-02-03T02:50:58Z,done,spine.verify,receipt.md,,capability
CAP-20260202-215058__spine.replay__Rxju323993,2026-02-03T02:50:58Z,2026-02-03T02:50:58Z,2026-02-03T02:50:58Z,done,spine.replay,receipt.md,,capability
CAP-20260202-215058__spine.status__R813b24065,2026-02-03T02:50:58Z,2026-02-03T02:50:58Z,2026-02-03T02:50:58Z,done,spine.status,receipt.md,,capability
CAP-20260202-215120__spine.verify__Rsmnj24264,2026-02-03T02:51:20Z,2026-02-03T02:51:20Z,2026-02-03T02:51:20Z,done,spine.verify,receipt.md,,capability
CAP-20260202-215120__spine.replay__Rczwq24350,2026-02-03T02:51:21Z,2026-02-03T02:51:20Z,2026-02-03T02:51:21Z,done,spine.replay,receipt.md,,capability
CAP-20260202-215121__spine.status__R4uyf24422,2026-02-03T02:51:21Z,2026-02-03T02:51:21Z,2026-02-03T02:51:21Z,done,spine.status,receipt.md,,capability
CAP-20260202-215348__spine.verify__R82to24919,2026-02-03T02:53:48Z,2026-02-03T02:53:48Z,2026-02-03T02:53:48Z,done,spine.verify,receipt.md,,capability
CAP-20260202-215348__spine.replay__R33ne25005,2026-02-03T02:53:49Z,2026-02-03T02:53:48Z,2026-02-03T02:53:49Z,done,spine.replay,receipt.md,,capability
CAP-20260202-215349__spine.status__R0c2525077,2026-02-03T02:53:49Z,2026-02-03T02:53:49Z,2026-02-03T02:53:49Z,done,spine.status,receipt.md,,capability
CAP-20260202-220738__spine.verify__Rs95z26087,2026-02-03T03:07:39Z,2026-02-03T03:07:38Z,2026-02-03T03:07:39Z,done,spine.verify,receipt.md,,capability
CAP-20260202-220739__spine.replay__R3e3h26178,2026-02-03T03:07:39Z,2026-02-03T03:07:39Z,2026-02-03T03:07:39Z,done,spine.replay,receipt.md,,capability
CAP-20260202-220739__spine.status__Rhuvy26250,2026-02-03T03:07:39Z,2026-02-03T03:07:39Z,2026-02-03T03:07:39Z,done,spine.status,receipt.md,,capability
CAP-20260202-220814__secrets.status__R8daw26395,2026-02-03T03:08:15Z,2026-02-03T03:08:14Z,2026-02-03T03:08:15Z,failed,secrets.status,receipt.md,,capability
CAP-20260202-220815__spine.verify__Rlnkx26429,2026-02-03T03:08:15Z,2026-02-03T03:08:15Z,2026-02-03T03:08:15Z,done,spine.verify,receipt.md,,capability
CAP-20260202-220815__spine.replay__Rwk7226515,2026-02-03T03:08:15Z,2026-02-03T03:08:15Z,2026-02-03T03:08:15Z,done,spine.replay,receipt.md,,capability
CAP-20260202-220815__spine.status__Rwgtp26587,2026-02-03T03:08:15Z,2026-02-03T03:08:15Z,2026-02-03T03:08:15Z,done,spine.status,receipt.md,,capability
CAP-20260202-220945__spine.verify__Rrupq26990,2026-02-03T03:09:46Z,2026-02-03T03:09:45Z,2026-02-03T03:09:46Z,done,spine.verify,receipt.md,,capability
CAP-20260202-220946__spine.replay__Rzful27076,2026-02-03T03:09:46Z,2026-02-03T03:09:46Z,2026-02-03T03:09:46Z,done,spine.replay,receipt.md,,capability
CAP-20260202-220946__spine.status__Rtrfz27148,2026-02-03T03:09:46Z,2026-02-03T03:09:46Z,2026-02-03T03:09:46Z,done,spine.status,receipt.md,,capability
CAP-20260202-221527__spine.verify__Roj7727741,2026-02-03T03:15:27Z,2026-02-03T03:15:27Z,2026-02-03T03:15:27Z,done,spine.verify,receipt.md,,capability
CAP-20260202-221527__spine.replay__Rn2xh27827,2026-02-03T03:15:27Z,2026-02-03T03:15:27Z,2026-02-03T03:15:27Z,done,spine.replay,receipt.md,,capability
CAP-20260202-221527__spine.status__Rmlpb27899,2026-02-03T03:15:27Z,2026-02-03T03:15:27Z,2026-02-03T03:15:27Z,done,spine.status,receipt.md,,capability
CAP-20260202-221758__secrets.binding__R00r428404,2026-02-03T03:17:59Z,2026-02-03T03:17:58Z,2026-02-03T03:17:59Z,failed,secrets.binding,receipt.md,,capability
CAP-20260202-221759__secrets.auth.status__Rasub28440,2026-02-03T03:17:59Z,2026-02-03T03:17:59Z,2026-02-03T03:17:59Z,failed,secrets.auth.status,receipt.md,,capability
