path	qualification	reason	risk_if_moved_now	target_home	notes
docs/CANONICAL/CAPABILITY_ARGUMENT_PROTOCOL_V1.md	needs-operator-decision	Authoritative doc outside the declared canonical roots.	high	TBD (operator decision)	out_of_band_canonical_doc
docs/CANONICAL/COMMUNICATIONS_RESEND_EXPANSION_CONTRACT_V1.yaml	needs-operator-decision	Authoritative doc outside the declared canonical roots.	high	TBD (operator decision)	out_of_band_canonical_doc
docs/CANONICAL/COMMUNICATIONS_RESEND_MCP_COEXISTENCE_POLICY_V1.md	needs-operator-decision	Authoritative doc outside the declared canonical roots.	high	TBD (operator decision)	out_of_band_canonical_doc
docs/CANONICAL/MEDIA_CAPACITY_GUARD_CONTRACT_V1.yaml	needs-operator-decision	Authoritative doc outside the declared canonical roots.	high	TBD (operator decision)	out_of_band_canonical_doc
docs/CANONICAL/SSH_IDENTITY_LIFECYCLE_CONTRACT_V1.yaml	needs-operator-decision	Authoritative doc outside the declared canonical roots.	high	TBD (operator decision)	out_of_band_canonical_doc
docs/CANONICAL/TAILSCALE_AUTHORITY_CONTRACT_V1.yaml	needs-operator-decision	Authoritative doc outside the declared canonical roots.	high	TBD (operator decision)	out_of_band_canonical_doc
docs/CANONICAL/W52_FOUNDATIONAL_CONTAINMENT_CONTRACT_V1.yaml	needs-operator-decision	Authoritative doc outside the declared canonical roots.	high	TBD (operator decision)	out_of_band_canonical_doc
docs/CONTRIBUTING.md	spine-source	Canonical documentation surface.	medium	/Users/ronnyworks/code/agentic-spine/docs/CONTRIBUTING.md	canonical_doc
docs/OPERATOR_CHEAT_SHEET.md	spine-source	Canonical documentation surface.	medium	/Users/ronnyworks/code/agentic-spine/docs/OPERATOR_CHEAT_SHEET.md	canonical_doc
docs/README.md	spine-source	Canonical documentation surface.	medium	/Users/ronnyworks/code/agentic-spine/docs/README.md	canonical_doc
docs/archive/backup/730xd_lane_packet_supersession_20260309.md	archive-only	Archived documentation surface.	low	/Users/ronnyworks/code/agentic-spine-archive/docs/archive/backup/730xd_lane_packet_supersession_20260309.md	archived_doc
docs/archive/governance/AGENTS_GOVERNANCE.md	archive-only	Archived documentation surface.	low	/Users/ronnyworks/code/agentic-spine-archive/docs/archive/governance/AGENTS_GOVERNANCE.md	archived_doc
docs/archive/governance/AGENTS_LOCATION.md	archive-only	Archived documentation surface.	low	/Users/ronnyworks/code/agentic-spine-archive/docs/archive/governance/AGENTS_LOCATION.md	archived_doc
docs/archive/governance/AGENT_BOUNDARIES.md	archive-only	Archived documentation surface.	low	/Users/ronnyworks/code/agentic-spine-archive/docs/archive/governance/AGENT_BOUNDARIES.md	archived_doc
docs/archive/governance/AGENT_MAILROOM_ENTRY.md	archive-only	Archived documentation surface.	low	/Users/ronnyworks/code/agentic-spine-archive/docs/archive/governance/AGENT_MAILROOM_ENTRY.md	archived_doc
docs/archive/governance/AGENT_TERMINOLOGY_GLOSSARY.md	archive-only	Archived documentation surface.	low	/Users/ronnyworks/code/agentic-spine-archive/docs/archive/governance/AGENT_TERMINOLOGY_GLOSSARY.md	archived_doc
docs/archive/governance/ARCHIVE_POLICY.md	archive-only	Archived documentation surface.	low	/Users/ronnyworks/code/agentic-spine-archive/docs/archive/governance/ARCHIVE_POLICY.md	archived_doc
docs/archive/governance/AUDITS_MIGRATION_TARGETS_V1.md	archive-only	Archived documentation surface.	low	/Users/ronnyworks/code/agentic-spine-archive/docs/archive/governance/AUDITS_MIGRATION_TARGETS_V1.md	archived_doc
