path	qualification	reason	risk_if_moved_now	target_home	notes
mailroom/.keep	spine-source	Mailroom boundary contract surface.	medium	/Users/ronnyworks/code/agentic-spine/mailroom/.keep	mailroom_contract
mailroom/README.md	spine-source	Mailroom boundary contract surface.	medium	/Users/ronnyworks/code/agentic-spine/mailroom/README.md	mailroom_contract
mailroom/inbox/.keep	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/inbox/.keep	live_mailroom_runtime
mailroom/inbox/done/.keep	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/inbox/done/.keep	live_mailroom_runtime
mailroom/inbox/failed/.archived-20260302/S20260227-034038__task__R621.md	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/inbox/failed/.archived-20260302/S20260227-034038__task__R621.md	live_mailroom_runtime
mailroom/inbox/failed/.archived-20260302/S20260227-034221__task__R923.md	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/inbox/failed/.archived-20260302/S20260227-034221__task__R923.md	live_mailroom_runtime
mailroom/inbox/failed/.archived-20260302/S20260227-034242__task__R000.md	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/inbox/failed/.archived-20260302/S20260227-034242__task__R000.md	live_mailroom_runtime
mailroom/inbox/failed/.archived-20260302/S20260227-034310__task__R731.md	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/inbox/failed/.archived-20260302/S20260227-034310__task__R731.md	live_mailroom_runtime
mailroom/inbox/failed/.archived-20260302/S20260227-034327__task__R731.md	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/inbox/failed/.archived-20260302/S20260227-034327__task__R731.md	live_mailroom_runtime
mailroom/inbox/failed/.archived-20260302/S20260227-193320__task__R207.md	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/inbox/failed/.archived-20260302/S20260227-193320__task__R207.md	live_mailroom_runtime
mailroom/inbox/failed/.archived-20260302/S20260227-194233__task__R270.md	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/inbox/failed/.archived-20260302/S20260227-194233__task__R270.md	live_mailroom_runtime
mailroom/inbox/failed/.archived-20260302/S20260227-194234__task__R383.md	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/inbox/failed/.archived-20260302/S20260227-194234__task__R383.md	live_mailroom_runtime
mailroom/inbox/failed/.archived-20260302/S20260227-194246__task__R545.md	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/inbox/failed/.archived-20260302/S20260227-194246__task__R545.md	live_mailroom_runtime
mailroom/inbox/failed/.archived-20260302/S20260227-194247__task__R970.md	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/inbox/failed/.archived-20260302/S20260227-194247__task__R970.md	live_mailroom_runtime
mailroom/inbox/failed/.keep	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/inbox/failed/.keep	live_mailroom_runtime
mailroom/inbox/failed/S20260302-190405__w1-e2e-success-test__R181.md	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/inbox/failed/S20260302-190405__w1-e2e-success-test__R181.md	live_mailroom_runtime
mailroom/inbox/failed/S20260302-231620__mobile-e2e__R390.md	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/inbox/failed/S20260302-231620__mobile-e2e__R390.md	live_mailroom_runtime
mailroom/inbox/failed/S20260302-231620__mobile-e2e__R423.md	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/inbox/failed/S20260302-231620__mobile-e2e__R423.md	live_mailroom_runtime
mailroom/inbox/failed/S20260302-232352__w1-inbox-test__R522.md	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/inbox/failed/S20260302-232352__w1-inbox-test__R522.md	live_mailroom_runtime
mailroom/inbox/failed/SES-DRIFT-231931__drift-trace__R-DRIFT-231931.md	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/inbox/failed/SES-DRIFT-231931__drift-trace__R-DRIFT-231931.md	live_mailroom_runtime
mailroom/inbox/parked/.keep	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/inbox/parked/.keep	live_mailroom_runtime
mailroom/inbox/parked/S20260227-034257__task__R802.md	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/inbox/parked/S20260227-034257__task__R802.md	live_mailroom_runtime
mailroom/inbox/queued/.keep	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/inbox/queued/.keep	live_mailroom_runtime
mailroom/inbox/running/.keep	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/inbox/running/.keep	live_mailroom_runtime
mailroom/logs/.keep	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/.keep	live_mailroom_runtime
mailroom/logs/agent-inbox.err	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/agent-inbox.err	live_mailroom_runtime
mailroom/logs/agent-inbox.out	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/agent-inbox.out	live_mailroom_runtime
mailroom/logs/alerting-probe-cycle.err	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/alerting-probe-cycle.err	live_mailroom_runtime
mailroom/logs/alerting-probe-cycle.out	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/alerting-probe-cycle.out	live_mailroom_runtime
mailroom/logs/backup-monitor-hourly.err	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/backup-monitor-hourly.err	live_mailroom_runtime
mailroom/logs/backup-monitor-hourly.out	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/backup-monitor-hourly.out	live_mailroom_runtime
mailroom/logs/cc-benefits-refresh-daily.err	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/cc-benefits-refresh-daily.err	live_mailroom_runtime
mailroom/logs/cc-benefits-refresh-daily.out	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/cc-benefits-refresh-daily.out	live_mailroom_runtime
mailroom/logs/cc-benefits-reminder-dispatch-daily.err	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/cc-benefits-reminder-dispatch-daily.err	live_mailroom_runtime
mailroom/logs/cc-benefits-reminder-dispatch-daily.out	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/cc-benefits-reminder-dispatch-daily.out	live_mailroom_runtime
mailroom/logs/communications-alerts-dispatcher.err	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/communications-alerts-dispatcher.err	live_mailroom_runtime
mailroom/logs/communications-alerts-dispatcher.out	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/communications-alerts-dispatcher.out	live_mailroom_runtime
mailroom/logs/docker-tunnel.err	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/docker-tunnel.err	live_mailroom_runtime
mailroom/logs/docker-tunnel.out	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/docker-tunnel.out	live_mailroom_runtime
mailroom/logs/domain-inventory-refresh-daily.err	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/domain-inventory-refresh-daily.err	live_mailroom_runtime
mailroom/logs/domain-inventory-refresh-daily.out	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/domain-inventory-refresh-daily.out	live_mailroom_runtime
mailroom/logs/extension-index-refresh-daily.err	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/extension-index-refresh-daily.err	live_mailroom_runtime
mailroom/logs/extension-index-refresh-daily.out	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/extension-index-refresh-daily.out	live_mailroom_runtime
mailroom/logs/finance-action-queue-monthly.err	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/finance-action-queue-monthly.err	live_mailroom_runtime
mailroom/logs/finance-action-queue-monthly.out	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/finance-action-queue-monthly.out	live_mailroom_runtime
mailroom/logs/finance-backup-weekly.err	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/finance-backup-weekly.err	live_mailroom_runtime
mailroom/logs/finance-backup-weekly.out	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/finance-backup-weekly.out	live_mailroom_runtime
mailroom/logs/freshness-critical-daily.err	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/freshness-critical-daily.err	live_mailroom_runtime
mailroom/logs/freshness-critical-daily.out	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/freshness-critical-daily.out	live_mailroom_runtime
mailroom/logs/friction-reconcile.err	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/friction-reconcile.err	live_mailroom_runtime
mailroom/logs/friction-reconcile.out	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/friction-reconcile.out	live_mailroom_runtime
mailroom/logs/ha-baseline-refresh.err	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/ha-baseline-refresh.err	live_mailroom_runtime
mailroom/logs/ha-baseline-refresh.out	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/ha-baseline-refresh.out	live_mailroom_runtime
mailroom/logs/hot-folder-watcher.log	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/hot-folder-watcher.log	live_mailroom_runtime
mailroom/logs/immich-reconcile-weekly.err	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/immich-reconcile-weekly.err	live_mailroom_runtime
mailroom/logs/immich-reconcile-weekly.out	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/immich-reconcile-weekly.out	live_mailroom_runtime
mailroom/logs/infra-core-smoke.err	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/infra-core-smoke.err	live_mailroom_runtime
mailroom/logs/infra-core-smoke.out	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/infra-core-smoke.out	live_mailroom_runtime
mailroom/logs/launchd-health-check.err	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/launchd-health-check.err	live_mailroom_runtime
mailroom/logs/launchd-health-check.out	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/launchd-health-check.out	live_mailroom_runtime
mailroom/logs/log-rotation-daily.err	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/log-rotation-daily.err	live_mailroom_runtime
mailroom/logs/log-rotation-daily.out	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/log-rotation-daily.out	live_mailroom_runtime
mailroom/logs/mailroom-bridge.err	runtime-only	Live mailroom queue/log/result artifact.	high	/Users/ronnyworks/code/.runtime/spine-mailroom/logs/mailroom-bridge.err	live_mailroom_runtime
