path	qualification	reason	risk_if_moved_now	target_home	notes
runtime/domain-state/calendar/writable/external/external_google/manifest.json	runtime-only	Live domain runtime state.	high	/Users/ronnyworks/code/.runtime/agentic-spine-domain-state/domain-state/calendar/writable/external/external_google/manifest.json	domain_runtime_state
runtime/domain-state/calendar/writable/external/external_home_assistant/manifest.json	runtime-only	Live domain runtime state.	high	/Users/ronnyworks/code/.runtime/agentic-spine-domain-state/domain-state/calendar/writable/external/external_home_assistant/manifest.json	domain_runtime_state
runtime/domain-state/calendar/writable/external/external_icloud/manifest.json	runtime-only	Live domain runtime state.	high	/Users/ronnyworks/code/.runtime/agentic-spine-domain-state/domain-state/calendar/writable/external/external_icloud/manifest.json	domain_runtime_state
runtime/domain-state/communications/m365-tenant-operator-containment-state-20260308T020720Z.yaml	runtime-only	Live domain runtime state.	high	/Users/ronnyworks/code/.runtime/agentic-spine-domain-state/domain-state/communications/m365-tenant-operator-containment-state-20260308T020720Z.yaml	domain_runtime_state
runtime/domain-state/communications/mail-archiver-cleanup-manual-review-packet-20260308T032818Z.yaml	runtime-only	Live domain runtime state.	high	/Users/ronnyworks/code/.runtime/agentic-spine-domain-state/domain-state/communications/mail-archiver-cleanup-manual-review-packet-20260308T032818Z.yaml	domain_runtime_state
runtime/domain-state/communications/mail-archiver-m365-containment-preservation-snapshot-20260308T014309Z.yaml	runtime-only	Live domain runtime state.	high	/Users/ronnyworks/code/.runtime/agentic-spine-domain-state/domain-state/communications/mail-archiver-m365-containment-preservation-snapshot-20260308T014309Z.yaml	domain_runtime_state
runtime/domain-state/mint/quote-packets/quote_packet_03b54e3e-c415-42b4-afff-291771be2652.yaml	runtime-only	Live domain runtime state.	high	/Users/ronnyworks/code/.runtime/agentic-spine-domain-state/domain-state/mint/quote-packets/quote_packet_03b54e3e-c415-42b4-afff-291771be2652.yaml	domain_runtime_state
runtime/domain-state/mint/quote-packets/quote_packet_0a196e21-689b-4ec1-9f52-0e726043276f.yaml	runtime-only	Live domain runtime state.	high	/Users/ronnyworks/code/.runtime/agentic-spine-domain-state/domain-state/mint/quote-packets/quote_packet_0a196e21-689b-4ec1-9f52-0e726043276f.yaml	domain_runtime_state
runtime/domain-state/mint/quote-packets/quote_packet_0b74b79a-5b3a-423c-b31a-4f643417a80c.yaml	runtime-only	Live domain runtime state.	high	/Users/ronnyworks/code/.runtime/agentic-spine-domain-state/domain-state/mint/quote-packets/quote_packet_0b74b79a-5b3a-423c-b31a-4f643417a80c.yaml	domain_runtime_state
runtime/domain-state/mint/quote-packets/quote_packet_ca30c608-f9fe-4235-b1ce-ec93b242a9ec.yaml	runtime-only	Live domain runtime state.	high	/Users/ronnyworks/code/.runtime/agentic-spine-domain-state/domain-state/mint/quote-packets/quote_packet_ca30c608-f9fe-4235-b1ce-ec93b242a9ec.yaml	domain_runtime_state
runtime/domain-state/mint/quote-packets/quote_packet_test-55cccd56-73cd-43c9-8022-2b5c5b4bab93.yaml	runtime-only	Live domain runtime state.	high	/Users/ronnyworks/code/.runtime/agentic-spine-domain-state/domain-state/mint/quote-packets/quote_packet_test-55cccd56-73cd-43c9-8022-2b5c5b4bab93.yaml	domain_runtime_state
runtime/domain-state/mint/quote-packets/quote_packet_test-8c55af46-75f3-47d4-aa06-be1468d3fab0.yaml	runtime-only	Live domain runtime state.	high	/Users/ronnyworks/code/.runtime/agentic-spine-domain-state/domain-state/mint/quote-packets/quote_packet_test-8c55af46-75f3-47d4-aa06-be1468d3fab0.yaml	domain_runtime_state
runtime/domain-state/mint/quote-packets/quote_packet_test-ada74450-37fc-4b09-a406-9c25e7136910.yaml	runtime-only	Live domain runtime state.	high	/Users/ronnyworks/code/.runtime/agentic-spine-domain-state/domain-state/mint/quote-packets/quote_packet_test-ada74450-37fc-4b09-a406-9c25e7136910.yaml	domain_runtime_state
runtime/domain-state/mint/quote-packets/quote_packet_test-fc6f86f9-ad9d-4c78-bb71-d08a46af2154.yaml	runtime-only	Live domain runtime state.	high	/Users/ronnyworks/code/.runtime/agentic-spine-domain-state/domain-state/mint/quote-packets/quote_packet_test-fc6f86f9-ad9d-4c78-bb71-d08a46af2154.yaml	domain_runtime_state
runtime/domain-state/mint/quote-packets/test-work/quote_packet_test-8a083f45-b55c-4265-a5de-27b06dabc60d.yaml	runtime-only	Live domain runtime state.	high	/Users/ronnyworks/code/.runtime/agentic-spine-domain-state/domain-state/mint/quote-packets/test-work/quote_packet_test-8a083f45-b55c-4265-a5de-27b06dabc60d.yaml	domain_runtime_state
runtime/domain-state/mint/quote-packets-index.yaml	runtime-only	Live domain runtime state.	high	/Users/ronnyworks/code/.runtime/agentic-spine-domain-state/domain-state/mint/quote-packets-index.yaml	domain_runtime_state
runtime/domain-state/snapshots/ha.inventory.snapshot.yaml	runtime-only	Live domain runtime state.	high	/Users/ronnyworks/code/.runtime/agentic-spine-domain-state/domain-state/snapshots/ha.inventory.snapshot.yaml	domain_runtime_state
runtime/domain-state/snapshots/home.dhcp.audit.yaml	runtime-only	Live domain runtime state.	high	/Users/ronnyworks/code/.runtime/agentic-spine-domain-state/domain-state/snapshots/home.dhcp.audit.yaml	domain_runtime_state
runtime/domain-state/snapshots/network.inventory.snapshot.yaml	runtime-only	Live domain runtime state.	high	/Users/ronnyworks/code/.runtime/agentic-spine-domain-state/domain-state/snapshots/network.inventory.snapshot.yaml	domain_runtime_state
runtime/domain-state/snapshots/z2m.devices.yaml	runtime-only	Live domain runtime state.	high	/Users/ronnyworks/code/.runtime/agentic-spine-domain-state/domain-state/snapshots/z2m.devices.yaml	domain_runtime_state
