path	qualification	reason	risk_if_moved_now	target_home	notes
ops/README.md	spine-source	Canonical control-plane source.	medium	/Users/ronnyworks/code/agentic-spine/ops/README.md	control_plane_source
ops/agents/artie-agent.contract.md	foundation-source	Supplementary domain agent contract, not core control-plane truth.	medium	/Users/ronnyworks/code/agentic-foundation/ops/agents/artie-agent.contract.md	agent_contract_prose
ops/agents/communications-agent.contract.md	foundation-source	Supplementary domain agent contract, not core control-plane truth.	medium	/Users/ronnyworks/code/agentic-foundation/ops/agents/communications-agent.contract.md	agent_contract_prose
ops/agents/fin-agent.contract.md	foundation-source	Supplementary domain agent contract, not core control-plane truth.	medium	/Users/ronnyworks/code/agentic-foundation/ops/agents/fin-agent.contract.md	agent_contract_prose
ops/agents/finance-agent.contract.md	foundation-source	Supplementary domain agent contract, not core control-plane truth.	medium	/Users/ronnyworks/code/agentic-foundation/ops/agents/finance-agent.contract.md	agent_contract_prose
ops/agents/firefly-agent.contract.md	foundation-source	Supplementary domain agent contract, not core control-plane truth.	medium	/Users/ronnyworks/code/agentic-foundation/ops/agents/firefly-agent.contract.md	agent_contract_prose
ops/agents/flying-dutchman.contract.md	foundation-source	Supplementary domain agent contract, not core control-plane truth.	medium	/Users/ronnyworks/code/agentic-foundation/ops/agents/flying-dutchman.contract.md	agent_contract_prose
ops/agents/home-assistant-agent.contract.md	foundation-source	Supplementary domain agent contract, not core control-plane truth.	medium	/Users/ronnyworks/code/agentic-foundation/ops/agents/home-assistant-agent.contract.md	agent_contract_prose
ops/agents/immich-agent.contract.md	foundation-source	Supplementary domain agent contract, not core control-plane truth.	medium	/Users/ronnyworks/code/agentic-foundation/ops/agents/immich-agent.contract.md	agent_contract_prose
ops/agents/media-agent.contract.md	foundation-source	Supplementary domain agent contract, not core control-plane truth.	medium	/Users/ronnyworks/code/agentic-foundation/ops/agents/media-agent.contract.md	agent_contract_prose
ops/agents/microsoft-agent.contract.md	foundation-source	Supplementary domain agent contract, not core control-plane truth.	medium	/Users/ronnyworks/code/agentic-foundation/ops/agents/microsoft-agent.contract.md	agent_contract_prose
ops/agents/mint-agent.contract.md	foundation-source	Supplementary domain agent contract, not core control-plane truth.	medium	/Users/ronnyworks/code/agentic-foundation/ops/agents/mint-agent.contract.md	agent_contract_prose
ops/agents/mint-os-agent.contract.md	foundation-source	Supplementary domain agent contract, not core control-plane truth.	medium	/Users/ronnyworks/code/agentic-foundation/ops/agents/mint-os-agent.contract.md	agent_contract_prose
ops/agents/ms-graph-agent.contract.md	foundation-source	Supplementary domain agent contract, not core control-plane truth.	medium	/Users/ronnyworks/code/agentic-foundation/ops/agents/ms-graph-agent.contract.md	agent_contract_prose
ops/agents/n8n-agent.contract.md	foundation-source	Supplementary domain agent contract, not core control-plane truth.	medium	/Users/ronnyworks/code/agentic-foundation/ops/agents/n8n-agent.contract.md	agent_contract_prose
ops/agents/paperless-agent.contract.md	foundation-source	Supplementary domain agent contract, not core control-plane truth.	medium	/Users/ronnyworks/code/agentic-foundation/ops/agents/paperless-agent.contract.md	agent_contract_prose
ops/agents/tax-legal-agent.contract.md	foundation-source	Supplementary domain agent contract, not core control-plane truth.	medium	/Users/ronnyworks/code/agentic-foundation/ops/agents/tax-legal-agent.contract.md	agent_contract_prose
ops/agents/workbench-agent.contract.md	foundation-source	Supplementary domain agent contract, not core control-plane truth.	medium	/Users/ronnyworks/code/agentic-foundation/ops/agents/workbench-agent.contract.md	agent_contract_prose
ops/archive/bindings/agent.entrypoint.lock.yaml	archive-only	Archived duplicate of active ops source.	low	/Users/ronnyworks/code/agentic-spine-archive/ops/archive/bindings/agent.entrypoint.lock.yaml	ops_archive
ops/archive/bindings/agent.fact.lock.yaml	archive-only	Archived duplicate of active ops source.	low	/Users/ronnyworks/code/agentic-spine-archive/ops/archive/bindings/agent.fact.lock.yaml	ops_archive
ops/archive/bindings/agent.read.surface.yaml	archive-only	Archived duplicate of active ops source.	low	/Users/ronnyworks/code/agentic-spine-archive/ops/archive/bindings/agent.read.surface.yaml	ops_archive
ops/archive/bindings/alerting.rules.yaml	archive-only	Archived duplicate of active ops source.	low	/Users/ronnyworks/code/agentic-spine-archive/ops/archive/bindings/alerting.rules.yaml	ops_archive
ops/archive/bindings/audit.suppressions.policy.yaml	archive-only	Archived duplicate of active ops source.	low	/Users/ronnyworks/code/agentic-spine-archive/ops/archive/bindings/audit.suppressions.policy.yaml	ops_archive
ops/archive/bindings/audits.migration.plan.yaml	archive-only	Archived duplicate of active ops source.	low	/Users/ronnyworks/code/agentic-spine-archive/ops/archive/bindings/audits.migration.plan.yaml	ops_archive
ops/archive/bindings/authority.concerns.yaml	archive-only	Archived duplicate of active ops source.	low	/Users/ronnyworks/code/agentic-spine-archive/ops/archive/bindings/authority.concerns.yaml	ops_archive
ops/archive/bindings/authority.exemptions.yaml	archive-only	Archived duplicate of active ops source.	low	/Users/ronnyworks/code/agentic-spine-archive/ops/archive/bindings/authority.exemptions.yaml	ops_archive
ops/archive/bindings/automation.stack.latency.slo.yaml	archive-only	Archived duplicate of active ops source.	low	/Users/ronnyworks/code/agentic-spine-archive/ops/archive/bindings/automation.stack.latency.slo.yaml	ops_archive
ops/archive/bindings/backup.calendar.yaml	archive-only	Archived duplicate of active ops source.	low	/Users/ronnyworks/code/agentic-spine-archive/ops/archive/bindings/backup.calendar.yaml	ops_archive
