path	qualification	reason	risk_if_moved_now	target_home	notes
.DS_Store	archive-only	Finder metadata residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.DS_Store	drop_from_hot_path
.archive/bin/ops-import-info-only.sh	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/bin/ops-import-info-only.sh	already_quarantined
.archive/bindings/infra.relocation.plan.yaml	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/bindings/infra.relocation.plan.yaml	already_quarantined
.archive/contracts/_source/AGENTS_GOVERNANCE.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/contracts/_source/AGENTS_GOVERNANCE.md	already_quarantined
.archive/contracts/_source/AGENT_BOUNDARIES.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/contracts/_source/AGENT_BOUNDARIES.md	already_quarantined
.archive/contracts/_source/CANONICAL.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/contracts/_source/CANONICAL.md	already_quarantined
.archive/contracts/_source/COMPOSE_AUTHORITY.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/contracts/_source/COMPOSE_AUTHORITY.md	already_quarantined
.archive/contracts/_source/DEVICE_IDENTITY_SSOT.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/contracts/_source/DEVICE_IDENTITY_SSOT.md	already_quarantined
.archive/contracts/_source/DOMAIN_ROUTING_REGISTRY.yaml	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/contracts/_source/DOMAIN_ROUTING_REGISTRY.yaml	already_quarantined
.archive/contracts/_source/EXCLUDED_SURFACES.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/contracts/_source/EXCLUDED_SURFACES.md	already_quarantined
.archive/contracts/_source/GOVERNANCE_INDEX.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/contracts/_source/GOVERNANCE_INDEX.md	already_quarantined
.archive/contracts/_source/INFRASTRUCTURE_AUTHORITY.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/contracts/_source/INFRASTRUCTURE_AUTHORITY.md	already_quarantined
.archive/contracts/_source/INFRASTRUCTURE_MAP.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/contracts/_source/INFRASTRUCTURE_MAP.md	already_quarantined
.archive/contracts/_source/INGRESS_AUTHORITY.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/contracts/_source/INGRESS_AUTHORITY.md	already_quarantined
.archive/contracts/_source/README.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/contracts/_source/README.md	already_quarantined
.archive/contracts/_source/REPO_STRUCTURE_AUTHORITY.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/contracts/_source/REPO_STRUCTURE_AUTHORITY.md	already_quarantined
.archive/contracts/_source/SCRIPTS_AUTHORITY.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/contracts/_source/SCRIPTS_AUTHORITY.md	already_quarantined
.archive/contracts/_source/SCRIPTS_REGISTRY.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/contracts/_source/SCRIPTS_REGISTRY.md	already_quarantined
.archive/contracts/_source/SERVICE_REGISTRY.yaml	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/contracts/_source/SERVICE_REGISTRY.yaml	already_quarantined
.archive/contracts/_source/SSOT_REGISTRY.yaml	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/contracts/_source/SSOT_REGISTRY.yaml	already_quarantined
.archive/contracts/_source/STACK_AUTHORITY.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/contracts/_source/STACK_AUTHORITY.md	already_quarantined
.archive/contracts/_source/STACK_REGISTRY.yaml	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/contracts/_source/STACK_REGISTRY.yaml	already_quarantined
.archive/legacy-root/examples/customer-quote-submit.task.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/examples/customer-quote-submit.task.md	already_quarantined
.archive/legacy-root/examples/example_task.txt	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/examples/example_task.txt	already_quarantined
.archive/legacy-root/examples/hello.task.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/examples/hello.task.md	already_quarantined
.archive/legacy-root/examples/receipt-smoke.task.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/examples/receipt-smoke.task.md	already_quarantined
.archive/legacy-root/runs/R20260129-184428/run.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-184428/run.md	already_quarantined
.archive/legacy-root/runs/R20260129-184428/task.txt	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-184428/task.txt	already_quarantined
.archive/legacy-root/runs/R20260129-190806/run.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-190806/run.md	already_quarantined
.archive/legacy-root/runs/R20260129-224215/run.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-224215/run.md	already_quarantined
.archive/legacy-root/runs/R20260129-224215/task.txt	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-224215/task.txt	already_quarantined
.archive/legacy-root/runs/R20260129-224424/run.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-224424/run.md	already_quarantined
.archive/legacy-root/runs/R20260129-224424/task.txt	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-224424/task.txt	already_quarantined
.archive/legacy-root/runs/R20260129-224948/request.txt	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-224948/request.txt	already_quarantined
.archive/legacy-root/runs/R20260129-224948/run.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-224948/run.md	already_quarantined
.archive/legacy-root/runs/R20260129-224948/task.txt	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-224948/task.txt	already_quarantined
.archive/legacy-root/runs/R20260129-225049/request.txt	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-225049/request.txt	already_quarantined
.archive/legacy-root/runs/R20260129-225049/result.txt	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-225049/result.txt	already_quarantined
.archive/legacy-root/runs/R20260129-225049/run.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-225049/run.md	already_quarantined
.archive/legacy-root/runs/R20260129-225049/task.txt	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-225049/task.txt	already_quarantined
.archive/legacy-root/runs/R20260129-225429/request.txt	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-225429/request.txt	already_quarantined
.archive/legacy-root/runs/R20260129-225429/result.txt	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-225429/result.txt	already_quarantined
.archive/legacy-root/runs/R20260129-225429/run.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-225429/run.md	already_quarantined
.archive/legacy-root/runs/R20260129-225429/task.txt	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-225429/task.txt	already_quarantined
.archive/legacy-root/runs/R20260129-225633/request.txt	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-225633/request.txt	already_quarantined
.archive/legacy-root/runs/R20260129-225633/result.txt	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-225633/result.txt	already_quarantined
.archive/legacy-root/runs/R20260129-225633/run.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-225633/run.md	already_quarantined
.archive/legacy-root/runs/R20260129-225633/task.txt	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-225633/task.txt	already_quarantined
.archive/legacy-root/runs/R20260129-225916/request.txt	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-225916/request.txt	already_quarantined
.archive/legacy-root/runs/R20260129-225916/result.txt	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-225916/result.txt	already_quarantined
.archive/legacy-root/runs/R20260129-225916/run.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-225916/run.md	already_quarantined
.archive/legacy-root/runs/R20260129-225916/task.txt	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-225916/task.txt	already_quarantined
.archive/legacy-root/runs/R20260129-230450/request.txt	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-230450/request.txt	already_quarantined
.archive/legacy-root/runs/R20260129-230450/result.txt	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-230450/result.txt	already_quarantined
.archive/legacy-root/runs/R20260129-230450/run.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-230450/run.md	already_quarantined
.archive/legacy-root/runs/R20260129-230450/task.txt	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-230450/task.txt	already_quarantined
.archive/legacy-root/runs/R20260129-230515/request.txt	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-230515/request.txt	already_quarantined
.archive/legacy-root/runs/R20260129-230515/result.txt	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-230515/result.txt	already_quarantined
.archive/legacy-root/runs/R20260129-230515/run.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-230515/run.md	already_quarantined
.archive/legacy-root/runs/R20260129-230515/task.txt	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-230515/task.txt	already_quarantined
.archive/legacy-root/runs/R20260129-230520/request.txt	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-230520/request.txt	already_quarantined
.archive/legacy-root/runs/R20260129-230520/result.txt	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-230520/result.txt	already_quarantined
.archive/legacy-root/runs/R20260129-230520/run.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-230520/run.md	already_quarantined
.archive/legacy-root/runs/R20260129-230520/task.txt	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-230520/task.txt	already_quarantined
.archive/legacy-root/runs/R20260129-231807/request.txt	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-231807/request.txt	already_quarantined
.archive/legacy-root/runs/R20260129-231807/result.txt	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-231807/result.txt	already_quarantined
.archive/legacy-root/runs/R20260129-231807/run.md	archive-only	Archived legacy residue.	low	/Users/ronnyworks/code/agentic-spine-archive/.archive/legacy-root/runs/R20260129-231807/run.md	already_quarantined
